"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CONFIG","EPC PART NUMBER","MFG","MFGPN","NAME","PART NUMBER","QSGDESCRIPT","SCHDESCRIPT","STATUS","STATUS1","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SHEETPART","DESIGNATOR","DESCRIPTION"
"EPC2108","D0144","","=MFGPN","*","EPC2108","EPC","EPC2108","","EPC2108","60V 240mE 1.7A 1:1HB","60V 240mE 1.7A 1:1HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1169-2-ND","917-1169-1-ND","917-1169-6-ND","","","","","Q?","60V 240mE 1.7A 1:1HB"
"EPC2110","D0144","","=MFGPN","*","EPC2110","EPC","EPC2110","","EPC2110","120V 110mE 3.4A 1:1Common Source","120V 110mE 3.4A 1:1Common Source","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1152-2-ND","917-1152-1-ND","917-1152-6-ND","","","","","Q?","120V 110mE 3.4A 1:1Common Source"
"EPC2111","D0331","","=MFGPN","*","EPC2111","EPC","EPC2111","","EPC2111","30 V HB 19mE/8mE 16A/16A 1:2HB","30 V HB 19mE/8mE 16A/16A 1:2HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1174-2-ND","917-1174-1-ND","917-1174-6-ND","","","","","Q?","30 V HB 19mE/8mE 16A/16A 1:2HB"
"EPC2152","D0122","","=MFGPN","*","EPC2152","EPC","EPC2152","","EPC2152","80V, 12mE Sym HB IC with UVLO & ESDs.","80V, 12mE Sym HB IC with UVLO & ESDs.","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC2152ENGRTCT-ND","917-EPC2152ENGRTTR-ND","917-EPC2152ENGRTDKR-ND","","","","","U?","80V, 12mE Sym HB IC with UVLO & ESDs."
"EPC21601","D0452","","=MFGPN","","EPC21601","EPC","EPC21601","","EPC21601","40V 10A eToF Laser Driver IC, 5V VDD 3.3V logic in","40V 10A eToF Laser Driver IC, 5V VDD 3.3V logic in","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC21601ENGRTCT-ND","917-EPC21601ENGRTDKR-ND","","","","","","U?","eToF Laser Driver IC, 40V 10A with 5V VDD, 3.3V logic input"
"EPC21603","D0452","","=MFGPN","","EPC21603","EPC","EPC21603","","EPC21603","40V 10A eToF Laser Driver IC, 5V VDD LVDS logic in","40V 10A eToF Laser Driver IC, 5V VDD LVDS logic in","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC21603ENGRTCT-ND","917-EPC21603ENGRTTR-ND","917-EPC21603ENGRTDKR-ND","","","","","U?","eToF Laser Driver IC, 40V 10A with 5V VDD, LVDS input"
"EPC2202","D0155","","=MFGPN","*","EPC2202","EPC","EPC2202","","EPC2202","80V 17mE 18A","80V 17mE 18A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1199-2-ND","917-1199-1-ND","917-1199-6-ND","","","","","Q?","80V 17mE 18A"
"EPC2203","D0353","","=MFGPN","*","EPC2203","EPC","EPC2203","","EPC2203","80V 80mE 1.7A","80V 80mE 1.7A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1200-2-ND","917-1200-1-ND","917-1200-6-ND","","","","","Q?","80V 80mE 1.7A"
"EPC2204","D0133CT44M","","=MFGPN","*","EPC2204","EPC","EPC2204","","EPC2204","100V 32A 6mE","100V 32A 6mE","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1223-1-ND","917-1223-2-ND","917-1223-6-ND","","","","","Q?","100V 32A 6mE"
"EPC2206","D0232","","=MFGPN","*","EPC2206","EPC","EPC2206","","EPC2206","80V 2.2mE 90A","80V 2.2mE 90A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1212-2-ND","917-1212-1-ND","917-1212-6-ND","","","","","Q?","80V 2.2mE 90A"
